No,Company,Product,,Location,Status
1,Jindal Saw Limited,Stretch Film,Sent quote 11th feb ,New Delhi,Quote Sent
2,Nordic Renewable Technologies,Honeycomb Boxes,Send quote 15th dec and got reply 11th feb will update as awaiting confirmation from finance team,Denmark,Quote Sent
3,CNH,Carton Boxes and LDPE,meeting on 16th feb for discussion on criteria before collecting samples,Noida ,In Discussion
4,UD Trucks,Wood packing,need to send them quote for ply wood and jungle wood,Bengaluru,In Discussion
5,Intech,Corrugated Box,need to send them quote asking for details,Gurgaon,In Discussion
6,Puma,"Mono Carton Box, BOPP Tapes, Polycover",Sent Quote 26th dec and will update next week,Haryana,Quote Sent
7,Uno Minda,LDPE Poly Bag,Revised quote shared of LDPE Polybag 22nd dec and in discussion with Mr. Ashok Soni and Gurpreet sir.. waiting for moq details,Haryana,Quote Sent
8,Maruti Suzuki Toyotsu India Pvt. Ltd.,Pinewood Pallets,"PO received (1,50,000 - order value),, one sample sent and order delivered",Noida,Order Received
9,Freudenberg-NOK Pvt. Ltd. (fst),JCB Polybag Printed,trial order 27k delivered and new PO reecived          (1 Lacs)  ,Tamil Nadu,Order Received
10,Eternis,Corrugation Box,quoation shared 7th nov - following up.. Will update this next week,Maharashtra,Quote Sent
11,JBM,Export Packing - Complete packing,Quote shared 3rd dec - following up,Haryana,Quote Sent
12,Daimler quotes,3 Ply Box,Quotation shared 6th oct - revised quote shared 1st dec (B1 and B2 sheets) - following up,Gurgaon,Quote Sent
13,Nexteer,VCI,Quote sent of vci items 29th jan and samples delivered and  quote sent of bopp tape and stretch film 2nd feb .. will update after 15th feb as on leave,Tamil Nadu,Sample Sent
14,SRF,Vci Poly Tube,vendor code formalities done … following up for next quarter PO,Jetapur,VRF
16,Minda ,"VCI Bags, stretch film and wooden",Quotation shared.. Meeting done and revised quotation shared.. PO received for vci bag (90k),Noida,Quote Sent
17,Yamaha Motor India,Long term Protection proposal - packing design,"Long term proposal for 10 year sent for VCI Pouch, aluminium Pouch, desiccant and manpower.. Revised quote shared 18th nov.. Will update 2nd week of december.. Discussed and will update next week",Haryana,Quote Sent
18,Uchimura,"VCI film, poly bag, desiccant, HDPE tape, Adpack Paper",quote sent and sample shared and sent to japan and will update in 45 days and revised adpack quote to be sent,Chennai,Sample Sent
19,AbInfra - Dennis,Shrink Film,quoation shared and samples to be resend and revised quote to be shared.. Meanwhile he wil update us regrading the samples and cif quote to be sent,Belgium,Quote Sent
20,TurboCORE Dynamics,VCI Solution and Shrink Wrap,shared the distributorship catalogue.. Following up,Malaysia,In Discussion
21,Pt Artha,Distributorship,shared the details and waitng for his reply,Indonesia,In Discussion
22,Cynlr,Packaging Solutions,need to send them quote,Mumbai,In Discussion
23,Anna Vila - Propa Group,"Pallet Box, Desiccant and VCI Bag","Quote shared for Pallet Box and desiccant and sent VCI Bag Quote,, will follow up feb mid week",Italy,Quote Sent
24,The Ply Studio,Distributorship,need to discuss online next week for distributorship,Pune,In Discussion
25,Dexgreen,Foldable plastic crates,called him 30th jan and need to send him revised quote,Pune,Quote Sent
26,Maruti SPD,Bubble guard bins,following up on the quote shared,Gurgaon,Quote Sent
27,TY Optics,Botton and top tray design,samples sent and meeting for new projects done.. need to send him amended sample and quote for other 2 samples ,Gujarat,In Discussion
28,L&T Hyderabad,Shrink Film,called 27th jan and will discuss this week,Hyderabad,In Discussion
29,Holisol Logistics Pvt. Ltd.,Tarpauline,Shared the revised quote 28th jan - got reply 2nd feb rates ok waiting for customer confirmation.. called yesterday and will get order by tuesday,New Delhi,Quote Sent
30,Esteem Labels Pvt. Ltd,VCI Paper and Desiccant,Samples sent and TDS and MSDS files shared 7th jan and following up,Nashik,Sample Sent
31,STELLANTIS AUTOMOBILES,VCI Zip Lock Bag and Self Adhesive Bag,Quoation shared and sample send vci zip lock bag 2D on 20th nov.. Samples not okay and following up for re-trial.. Called 4th feb and will share details of vci and desiccants after 2 weeks,Tamil Nadu,Sample Sent
32,Ashok Leyland Limited,Sponge Rubber tape,Quotation shared and followingup for sampling trial,Lucknow,Sample Sent
33,L & T Valves - Maheshkumar,VCI Biodegradable Film,will let us know this next year 1st quarter.. Called will update once new project starts,Tamil Nadu,Quote Sent
34,Marelli Motherson Automotive - Pune and sanand,Desiccant,Samples under trial.. Sample reports received and some error.. Will discuss next week,Pune,Sample Sent
35,Sharda Motor Industries Ltd.,Mahindra VCI Bag,Quotation shared and samples approved and now waiting for costing settlement at their end.. Will resume this month second week,Pune,Sample Sent
,Puma,,,,